,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,dockerhub_id,docs_url,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,projectrank_placing,github_release_downloads,dockerhub_stars,trending,new_addition
0,Data on Energy,data,['python'],True,owid/energy-data,https://ourworldindata.org/energy,CC-BY,Data on energy by Our World in Data.,https://github.com/owid/energy-data,2020-09-08 15:21:25,2022-11-23 14:15:04.000000,2022-11-23 14:13:55,209.0,3.0,54.0,9.0,18.0,6.0,139.0,7.0,0,True,,,,,,,,,,,,,,,,,,,,,,
1,COVID-EMDA,data,['python'],True,tamu-engineering-research/COVID-EMDA,https://github.com/tamu-engineering-research/COVID-EMDA,MIT,"Cross-Domain Data Hub with Electricity Market, Coronavirus Case, Mobility and Satellite Data in USA.",https://github.com/tamu-engineering-research/COVID-EMDA,2020-05-05 18:59:53,2022-05-16 00:06:28.000000,2022-05-16 00:06:28,979.0,,17.0,6.0,,,53.0,5.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,
2,pandapower,steady-state,['python'],,e2nIEE/pandapower,https://www.pandapower.org/,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,2017-01-12 13:27:53,2022-12-03 15:54:51.000000,2022-12-03 13:50:49,7062.0,230.0,374.0,47.0,900.0,628.0,572.0,95.0,31,True,145.0,pandapower,pandapower,pauldepraz/pandapowerapi,https://pandapower.readthedocs.io/en/latest/,2022-07-31 11:35:43,2.10.1,29.0,185.0,185.0,https://pypi.org/project/pandapower,10491.0,10492.0,https://anaconda.org/anaconda/pandapower,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,85.0,1.0,,,,
3,PyPSA,steady-state,['python'],,PyPSA/PyPSA,https://pypsa.org,MIT,Simulating and optimising modern power and energy systems.,https://github.com/PyPSA/PyPSA,2016-01-11 09:04:18,2022-12-02 16:01:15.000000,2022-12-02 16:01:10,1658.0,210.0,314.0,60.0,294.0,166.0,748.0,53.0,30,True,54.0,pypsa,pypsa,,https://pypsa.readthedocs.io/en/latest/,2022-11-30 11:13:01,0.21.2,39.0,76.0,76.0,https://pypi.org/project/pypsa,3046.0,3046.0,https://anaconda.org/anaconda/pypsa,,,,1.0,,,,
4,OpenModelica,cosimf,,,OpenModelica/OpenModelica,https://openmodelica.org,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based modeling and simulation environment.,https://github.com/OpenModelica/OpenModelica,2015-05-03 16:59:29,2022-12-04 14:06:01.000000,2022-12-04 14:06:01,35562.0,279.0,229.0,52.0,3178.0,5107.0,554.0,174.0,28,True,1500.0,,,openmodelica/openmodelica,https://openmodelica.org/useresresources/userdocumentation,2022-07-08 22:40:17,1.19.2,13.0,,,,,191.0,,https://hub.docker.com/r/openmodelica/openmodelica,2022-08-01 14:22:39.762413,17142.0,1.0,341.0,5.0,,
5,HiGHS,ops,['python'],,ERGO-Code/HiGHS,https://highs.dev/,MIT,High performance serial and parallel solver for large scale sparse linear optimization problems.,https://github.com/ERGO-Code/HiGHS,2018-03-27 13:57:58,2022-12-02 19:15:32.000000,2022-12-01 22:05:19,7575.0,148.0,86.0,23.0,658.0,288.0,427.0,45.0,24,True,50.0,scikit-highs,,,https://ergo-code.github.io/HiGHS/,2022-11-27 15:48:47,1.4.0,6.0,5.0,5.0,https://pypi.org/project/scikit-highs,22.0,22.0,,,,,1.0,,,1.0,
6,Ipopt,ops,['python'],,coin-or/Ipopt,https://github.com/coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,2019-01-28 12:24:22,2022-11-22 08:08:54.000000,2022-11-22 08:08:54,2293.0,8.0,202.0,36.0,13.0,503.0,927.0,22.0,23,True,3.0,ipopt,ipopt,,https://coin-or.github.io/Ipopt/,2022-10-11 08:16:53,releases/3.14.10,16.0,,,https://pypi.org/project/ipopt,2982.0,3163.0,https://anaconda.org/anaconda/ipopt,,,,3.0,5811.0,,,
7,precice,cosimf,,,precice/precice,https://precice.org/,LGPL-3.0,Partitioned multi-physics simulations.,https://github.com/precice/precice,2015-05-22 14:05:22,2022-12-02 11:51:41.000000,2022-12-01 18:44:16,4460.0,74.0,128.0,33.0,869.0,474.0,478.0,46.0,23,True,150.0,pyprecice,pyprecice,precice/precice,https://precice.org/docs.html,2022-08-10 12:48:38,2.5.0,25.0,,,https://pypi.org/project/pyprecice,220.0,516.0,https://anaconda.org/anaconda/pyprecice,https://hub.docker.com/r/precice/precice,2022-08-10 20:09:59.763283,8228.0,3.0,12598.0,,,
8,Atlite,data,['python'],,PyPSA/atlite,https://pypsa.org,BSD-2,Calculating Renewable Power Potentials and Time Series.,https://github.com/PyPSA/atlite,2016-11-03 23:59:25,2022-12-02 05:44:14.000000,2022-11-29 12:05:25,499.0,24.0,48.0,13.0,170.0,70.0,156.0,22.0,23,True,25.0,atlite,atlite,,https://atlite.readthedocs.io/en/master/?badge=master,2022-10-07 12:43:34,0.2.9,8.0,15.0,15.0,https://pypi.org/project/atlite,1301.0,1301.0,https://anaconda.org/anaconda/atlite,,,,1.0,,,,True
9,HELICS,cosimf,"['python', 'julia']",,GMLC-TDC/HELICS,https://helics.org/tools/,BSD-3,Framework to Integrate Simulators Designed for Separate TDC Domains.,https://github.com/GMLC-TDC/HELICS,2017-06-01 17:03:19,2022-12-03 15:56:58.000000,2022-12-02 23:45:54,3391.0,47.0,33.0,14.0,1849.0,530.0,84.0,37.0,23,True,73.0,helics,helics,,,2022-12-03 01:32:39,3.3.2,53.0,,,https://pypi.org/project/helics,877.0,1156.0,https://anaconda.org/anaconda/helics,,,,3.0,16234.0,,1.0,
10,pandapipes,gasnet,['python'],,e2nIEE/pandapipes,https://www.pandapipes.org/,BSD-3,A pipeflow calculation tool.,https://github.com/e2nIEE/pandapipes,2020-02-03 15:04:57,2022-12-01 09:59:13.000000,2022-12-01 09:59:13,1219.0,23.0,33.0,9.0,309.0,42.0,65.0,13.0,21,True,48.0,pandapipes,,,https://jkpandapipes.readthedocs.io/en/latest/,2022-08-02 08:23:28,0.7.0,9.0,6.0,6.0,https://pypi.org/project/pandapipes,1461.0,1461.0,,,,,1.0,,,,
11,GridCal,steady-state,['python'],,SanPen/GridCal,https://www.advancedgridinsights.com/gridcal,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/GridCal,2016-01-13 15:40:10,2022-11-29 16:25:23.000000,2022-10-13 11:32:33,2570.0,4.0,71.0,27.0,92.0,74.0,304.0,27.0,20,True,,GridCal,,,https://gridcal.readthedocs.io/en/latest/?badge=latest,2022-07-24 18:29:15,4.5.5,17.0,2.0,2.0,https://pypi.org/project/GridCal,695.0,695.0,,,,,2.0,23.0,,,
12,matpower,steady-state,,,MATPOWER/matpower,https://matpower.org/,BSD-3,Steady state power flow simulation.,https://github.com/MATPOWER/matpower,2016-12-16 19:12:30,2022-11-23 22:24:51.897884,2022-11-23 21:49:46,2251.0,21.0,124.0,29.0,36.0,113.0,284.0,12.0,20,True,10.0,matpower,,matpower/matpower,https://matpower.org/doc/,2020-10-08 23:57:49,7.1,3.0,,,https://pypi.org/project/matpower,97.0,3006.0,,https://hub.docker.com/r/matpower/matpower,2022-11-23 22:24:51.897884,351.0,2.0,142364.0,,,
