,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,docs_url,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,new_addition,dockerhub_stars,conda_latest_release_published_at,conda_total_downloads,trending,updated_github_id
0,Data on Energy,data,['python'],True,owid/energy-data,https://ourworldindata.org/energy,CC-BY,Data on energy by Our World in Data.,https://github.com/owid/energy-data,2020-09-08 15:21:25,2023-03-06 04:08:54.000000,2023-03-06 04:08:49,224,3.0,73.0,9.0,22.0,7.0,172,7.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
1,COVID-EMDA,data,['python'],True,tamu-engineering-research/COVID-EMDA,https://github.com/tamu-engineering-research/COVID-EMDA,MIT,Cross-Domain Data Hub with Data in USA.,https://github.com/tamu-engineering-research/COVID-EMDA,2020-05-05 18:59:53,2022-05-16 00:06:28.000000,2022-05-16 00:06:28,979,,18.0,6.0,,,57,5.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2,Pyomo,opl,"['python', 'jupyter']",,Pyomo/pyomo,https://www.pyomo.org,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,2016-05-27 19:33:45,2023-05-18 10:26:31.000000,2023-05-11 18:10:49,20603,361.0,427.0,60.0,1660.0,881.0,1545,125.0,36,True,287.0,Pyomo,pyomo,https://pyomo.readthedocs.io/en/stable/,2023-02-16 17:19:00,6.5.0,952.0,121405.0,7.0,1333.0,1333.0,https://pypi.org/project/Pyomo,121342.0,https://anaconda.org/anaconda/pyomo,1.0,,,,,,,,,,
3,pandapower,steady-state,['python'],,e2nIEE/pandapower,https://www.pandapower.org/,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,2017-01-12 13:27:53,2023-05-18 11:43:17.000000,2023-05-12 15:44:08,7720,273.0,408.0,46.0,1096.0,670.0,623,107.0,32,True,167.0,pandapower,pandapower,https://pandapower.readthedocs.io/en/latest/,2023-05-12 15:47:47,2.13.1,,15968.0,35.0,226.0,226.0,https://pypi.org/project/pandapower,15967.0,https://anaconda.org/anaconda/pandapower,1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,88.0,,,,,,
4,PySCIPOpt,ops,['python'],,scipopt/PySCIPOpt,https://www.scipopt.org/,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,2016-05-19 14:29:21,2023-05-17 19:50:27.000000,2023-05-17 19:50:27,1587,27.0,202.0,26.0,271.0,381.0,643,62.0,30,True,27.0,PySCIPOpt,pyscipopt,https://scipopt.github.io/PySCIPOpt/docs/html/,2023-03-17 19:43:22,4.3.0,,81449.0,17.0,112.0,112.0,https://pypi.org/project/PySCIPOpt,81449.0,https://anaconda.org/anaconda/pyscipopt,1.0,,,,,True,,,,,
5,PyPSA,steady-state,['python'],,PyPSA/PyPSA,https://pypsa.org,MIT,Simulating and optimising power and energy systems.,https://github.com/PyPSA/PyPSA,2016-01-11 09:04:18,2023-05-16 11:33:08.000000,2023-05-16 08:37:58,1955,169.0,345.0,60.0,370.0,190.0,846,59.0,29,True,62.0,pypsa,pypsa,https://pypsa.readthedocs.io/en/latest/,2023-05-10 15:27:32,0.23.0,,3101.0,43.0,94.0,94.0,https://pypi.org/project/pypsa,3101.0,https://anaconda.org/anaconda/pypsa,1.0,,,,,,,,,,
6,OpenModelica,cosime,,,OpenModelica/OpenModelica,https://openmodelica.org,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,2015-05-03 16:59:29,2023-05-17 15:28:46.000000,2023-05-15 07:06:54,35972,247.0,250.0,53.0,3610.0,5355.0,606,180.0,28,True,1621.0,,,https://openmodelica.org/useresresources/userdocumentation,2023-04-18 09:52:03,1.21.0,346.0,223.0,16.0,,,,,,1.0,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2023-05-05 12:42:00.027415,21164.0,,5.0,,,,
7,CVXOPT,opl,['python'],,cvxopt/cvxopt,https://cvxopt.org/,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,2013-02-22 22:14:31,2023-05-11 05:49:29.000000,2023-05-10 11:52:37,54,1.0,187.0,39.0,62.0,137.0,883,8.0,26,True,41.0,cvxopt,cvxopt,http://cvxopt.org/userguide/,2023-05-10 12:43:01,1.3.1,,212586.0,11.0,7193.0,7193.0,https://pypi.org/project/cvxopt,212488.0,https://anaconda.org/anaconda/cvxopt,3.0,,,,,True,,2023-03-21 12:56:57.446,8871.0,,
8,JuMP,opl,"['julia', 'jupyter']",,jump-dev/JuMP.jl,https://jump.dev,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,2012-10-10 00:34:45,2023-05-18 06:07:16.000000,2023-05-17 23:00:00,4626,91.0,364.0,84.0,1972.0,1338.0,1955,139.0,25,True,12.0,,,https://jump.dev/JuMP.jl/stable/,2023-05-03 03:22:15,1.11.0,,,55.0,,,,,,3.0,,,,,,,,,,
9,HiGHS,ops,['python'],,ERGO-Code/HiGHS,https://highs.dev/,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,2018-03-27 13:57:58,2023-05-18 13:34:10.000000,2023-05-12 08:08:27,7690,7.0,108.0,22.0,801.0,380.0,538,46.0,25,True,60.0,highspy,,https://ergo-code.github.io/HiGHS/,2023-02-24 14:45:09,1.5.1,,7599.0,9.0,15.0,15.0,https://pypi.org/project/highspy,7599.0,,2.0,,,,,,,,,-1.0,
