,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,docs_url,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,new_addition,trending,dockerhub_stars,conda_latest_release_published_at,conda_total_downloads,updated_github_id
0,Data on Energy,data,['python'],True,owid/energy-data,https://ourworldindata.org/energy,CC-BY,Data on energy by Our World in Data.,https://github.com/owid/energy-data,2020-09-08 15:21:25,2023-07-18 13:22:02.000,2023-07-18 13:21:58,234,10.0,78.0,11.0,25.0,9.0,192,7.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
1,COVID-EMDA,data,['python'],True,tamu-engineering-research/COVID-EMDA,https://github.com/tamu-engineering-research/COVID-EMDA,MIT,Cross-Domain Data Hub with Data in USA.,https://github.com/tamu-engineering-research/COVID-EMDA,2020-05-05 18:59:53,2022-05-16 00:06:28.000,2022-05-16 00:06:28,979,,19.0,6.0,,,57,5.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2,Pyomo,opl,"['python', 'jupyter']",,Pyomo/pyomo,https://www.pyomo.org,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,2016-05-27 19:33:45,2023-07-20 16:30:02.000,2023-07-20 14:51:09,21242,581.0,432.0,60.0,1717.0,901.0,1590,127.0,36,True,296.0,Pyomo,pyomo,https://pyomo.readthedocs.io/en/stable/,2023-05-30 20:38:18,6.6.1,1525.0,245285.0,9.0,1424.0,1424.0,https://pypi.org/project/Pyomo,245196.0,https://anaconda.org/anaconda/pyomo,1.0,,,,,,,,,,
3,pandapower,steady-state,['python'],,e2nIEE/pandapower,https://www.pandapower.org/,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,2017-01-12 13:27:53,2023-07-20 15:19:57.000,2023-07-20 11:46:31,7895,176.0,415.0,45.0,1128.0,707.0,641,111.0,31,True,148.0,pandapower,pandapower,https://pandapower.readthedocs.io/en/latest/,2023-05-12 15:47:47,2.13.1,,17068.0,35.0,251.0,251.0,https://pypi.org/project/pandapower,17067.0,https://anaconda.org/anaconda/pandapower,1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,88.0,,,,,,
4,PyPSA,steady-state,['python'],,PyPSA/PyPSA,https://pypsa.org,MIT,Simulating and optimising power and energy systems.,https://github.com/PyPSA/PyPSA,2016-01-11 09:04:18,2023-07-20 12:53:28.000,2023-07-18 12:05:00,2092,203.0,358.0,61.0,407.0,203.0,885,62.0,30,True,60.0,pypsa,pypsa,https://pypsa.readthedocs.io/en/latest/,2023-07-13 19:59:02,0.25.0,,4063.0,45.0,108.0,108.0,https://pypi.org/project/pypsa,4063.0,https://anaconda.org/anaconda/pypsa,1.0,,,,,,,,,,
5,PySCIPOpt,ops,['python'],,scipopt/PySCIPOpt,https://www.scipopt.org/,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,2016-05-19 14:29:21,2023-07-15 08:28:11.000,2023-07-03 08:33:49,1601,19.0,205.0,25.0,279.0,403.0,660,64.0,30,True,26.0,PySCIPOpt,pyscipopt,https://scipopt.github.io/PySCIPOpt/docs/html/,2023-03-17 19:43:22,4.3.0,,81343.0,17.0,120.0,120.0,https://pypi.org/project/PySCIPOpt,81343.0,https://anaconda.org/anaconda/pyscipopt,1.0,,,,,True,,,,,
6,HiGHS,ops,['python'],,ERGO-Code/HiGHS,https://highs.dev/,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,2018-03-27 13:57:58,2023-07-20 16:58:17.000,2023-07-05 21:29:49,8330,125.0,118.0,25.0,832.0,408.0,568,53.0,29,True,61.0,highspy,,https://ergo-code.github.io/HiGHS/,2023-05-27 13:20:08,1.5.3,,9104.0,10.0,21.0,21.0,https://pypi.org/project/highspy,9104.0,,2.0,,,,,,3.0,,,,
7,OpenModelica,cosime,,,OpenModelica/OpenModelica,https://openmodelica.org,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,2015-05-03 16:59:29,2023-07-20 15:39:39.000,2023-07-20 14:12:18,36107,181.0,259.0,53.0,3760.0,5428.0,624,180.0,27,True,1649.0,,,https://openmodelica.org/useresresources/userdocumentation,2023-04-18 09:52:03,1.21.0,353.0,232.0,16.0,,,,,,1.0,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2023-05-05 12:42:00.027415,22453.0,,,5.0,,,
8,CVXOPT,opl,['python'],,cvxopt/cvxopt,https://cvxopt.org/,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,2013-02-22 22:14:31,2023-06-16 13:05:55.431,2023-05-10 11:52:37,54,1.0,190.0,39.0,62.0,139.0,903,8.0,26,True,40.0,cvxopt,cvxopt,http://cvxopt.org/userguide/,2023-05-10 12:43:01,1.3.1,,176563.0,11.0,7662.0,7662.0,https://pypi.org/project/cvxopt,176463.0,https://anaconda.org/anaconda/cvxopt,3.0,,,,,True,,,2023-06-16 13:05:55.431,9282.0,
9,JuMP,opl,"['julia', 'jupyter']",,jump-dev/JuMP.jl,https://jump.dev,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,2012-10-10 00:34:45,2023-07-20 15:18:00.000,2023-07-20 14:36:15,4682,79.0,373.0,84.0,2029.0,1352.0,1984,144.0,25,True,8.0,,,https://jump.dev/JuMP.jl/stable/,2023-06-19 19:44:18,1.12.0,,,57.0,,,,,,3.0,,,,,,,,,,
