,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,pypi_id,conda_id,docs_url,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,new_addition,dockerhub_stars,conda_latest_release_published_at,conda_total_downloads,trending,updated_github_id
0,Data on Energy,data,['python'],True,owid/energy-data,https://ourworldindata.org/energy,CC-BY,Data on energy by Our World in Data.,https://github.com/owid/energy-data,2020-09-08 15:21:25,2023-07-18 13:22:02,2023-07-18 13:21:58,234,3.0,80.0,11.0,25.0,1.0,9.0,201,7.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,
1,COVID-EMDA,data,['python'],True,tamu-engineering-research/COVID-EMDA,https://github.com/tamu-engineering-research/COVID-EMDA,MIT,Cross-Domain Data Hub with Data in USA.,https://github.com/tamu-engineering-research/COVID-EMDA,2020-05-05 18:59:53,2022-05-16 00:06:28,2022-05-16 00:06:28,979,,18.0,6.0,,1.0,,57,5.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,
2,Pyomo,opl,"['python', 'jupyter']",,Pyomo/pyomo,https://www.pyomo.org,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,2016-05-27 19:33:45,2023-09-12 22:27:39,2023-09-12 22:27:39,21599,463.0,436.0,61.0,1753.0,314.0,922.0,1630,131.0,36,True,Pyomo,pyomo,https://pyomo.readthedocs.io/en/stable/,2023-08-23 22:42:54,6.6.2,1732.0,303098.0,10.0,1493.0,1493.0,https://pypi.org/project/Pyomo,303007.0,https://anaconda.org/anaconda/pyomo,1.0,,,,,,,,,,
3,pandapower,steady-state,['python'],,e2nIEE/pandapower,https://www.pandapower.org/,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,2017-01-12 13:27:53,2023-09-14 18:22:07,2023-09-14 18:22:07,8011,151.0,416.0,45.0,1145.0,150.0,713.0,660,116.0,31,True,pandapower,pandapower,https://pandapower.readthedocs.io/en/latest/,2023-05-12 15:47:47,2.13.1,,15874.0,35.0,280.0,280.0,https://pypi.org/project/pandapower,15873.0,https://anaconda.org/anaconda/pandapower,1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,88.0,,,,,,
4,PyPSA,steady-state,['python'],,PyPSA/PyPSA,https://pypsa.org,MIT,Simulating and optimising power and energy systems.,https://github.com/PyPSA/PyPSA,2016-01-11 09:04:18,2023-09-14 14:28:48,2023-09-14 11:50:09,2224,250.0,368.0,61.0,441.0,63.0,213.0,923,65.0,30,True,pypsa,pypsa,https://pypsa.readthedocs.io/en/latest/,2023-07-27 07:51:53,0.25.1,,1821.0,46.0,123.0,123.0,https://pypi.org/project/pypsa,1821.0,https://anaconda.org/anaconda/pypsa,1.0,,,,,,,,,,
5,PySCIPOpt,ops,['python'],,scipopt/PySCIPOpt,https://www.scipopt.org/,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,2016-05-19 14:29:21,2023-08-07 10:44:19,2023-07-03 08:33:49,1601,9.0,207.0,25.0,280.0,28.0,414.0,668,64.0,28,True,PySCIPOpt,pyscipopt,https://scipopt.github.io/PySCIPOpt/docs/html/,2023-03-17 19:43:22,4.3.0,,79924.0,17.0,125.0,125.0,https://pypi.org/project/PySCIPOpt,79924.0,https://anaconda.org/anaconda/pyscipopt,1.0,,,,,True,,,,,
6,OpenModelica,cosime,,,OpenModelica/OpenModelica,https://openmodelica.org,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,2015-05-03 16:59:29,2023-09-14 17:34:51,2023-09-14 17:34:51,36197,156.0,263.0,53.0,3852.0,1689.0,5473.0,641,182.0,27,True,,,https://openmodelica.org/useresresources/userdocumentation,2023-04-18 09:52:03,1.21.0,355.0,252.0,16.0,,,,,,1.0,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2023-05-05 12:42:00.027415,24978.0,,5.0,,,,
7,HiGHS,ops,['python'],,ERGO-Code/HiGHS,https://highs.dev/,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,2018-03-27 13:57:58,2023-09-14 16:19:33,2023-09-05 16:16:02,8334,8.0,127.0,28.0,858.0,61.0,426.0,619,53.0,27,True,highspy,,https://ergo-code.github.io/HiGHS/,2023-05-27 13:20:08,1.5.3,,23193.0,10.0,29.0,29.0,https://pypi.org/project/highspy,23193.0,,2.0,,,,,,,,,,
8,CVXOPT,opl,['python'],,cvxopt/cvxopt,https://cvxopt.org/,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,2013-02-22 22:14:31,2023-08-23 15:47:57,2023-08-09 09:16:40,55,1.0,192.0,39.0,64.0,34.0,145.0,919,8.0,26,True,cvxopt,cvxopt,http://cvxopt.org/userguide/,2023-08-09 14:30:02,1.3.2,,275769.0,12.0,7965.0,7965.0,https://pypi.org/project/cvxopt,275666.0,https://anaconda.org/anaconda/cvxopt,3.0,,,,,True,,2023-06-16 13:05:55.431,9741.0,,
9,JuMP,opl,"['julia', 'jupyter']",,jump-dev/JuMP.jl,https://jump.dev,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,2012-10-10 00:34:45,2023-09-14 08:07:35,2023-09-14 07:03:11,4731,61.0,376.0,84.0,2085.0,9.0,1367.0,2020,145.0,25,True,,,https://jump.dev/JuMP.jl/stable/,2023-09-03 03:55:30,1.14.1,,,60.0,,,,,,3.0,,,,,,,,,,
