,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,docs_url,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,new_addition,dockerhub_stars,conda_latest_release_published_at,conda_total_downloads,updated_github_id
0,Data on Energy,data,['python'],True,owid/energy-data,https://ourworldindata.org/energy,CC-BY,Data on energy by Our World in Data.,https://github.com/owid/energy-data,2020-09-08 15:21:25,2023-07-18 13:22:02,2023-07-18 13:21:58,234,3.0,83.0,12.0,25.0,10.0,208,7.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
1,COVID-EMDA,data,['python'],True,tamu-engineering-research/COVID-EMDA,https://github.com/tamu-engineering-research/COVID-EMDA,MIT,Cross-Domain Data Hub with Data in USA.,https://github.com/tamu-engineering-research/COVID-EMDA,2020-05-05 18:59:53,2022-05-16 00:06:28,2022-05-16 00:06:28,979,,18.0,6.0,,,57,5.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2,Pyomo,opl,"['python', 'jupyter']",,Pyomo/pyomo,https://www.pyomo.org,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,2016-05-27 19:33:45,2023-09-28 16:05:47,2023-09-25 22:22:24,21651,434.0,438.0,60.0,1761.0,935.0,1641,131.0,36,True,307.0,Pyomo,pyomo,https://pyomo.readthedocs.io/en/stable/,2023-08-23 22:42:54,6.6.2,1782.0,295276.0,10.0,1502.0,1502.0,https://pypi.org/project/Pyomo,295183.0,https://anaconda.org/anaconda/pyomo,1.0,,,,,,,,,,
3,pandapower,steady-state,['python'],,e2nIEE/pandapower,https://www.pandapower.org/,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,2017-01-12 13:27:53,2023-09-28 12:14:37,2023-09-15 12:58:49,8014,148.0,420.0,46.0,1151.0,713.0,663,116.0,31,True,156.0,pandapower,pandapower,https://pandapower.readthedocs.io/en/latest/,2023-05-12 15:47:47,2.13.1,,16680.0,35.0,281.0,281.0,https://pypi.org/project/pandapower,16679.0,https://anaconda.org/anaconda/pandapower,1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,88.0,,,,,,
4,PyPSA,steady-state,['python'],,PyPSA/PyPSA,https://pypsa.org,MIT,Simulating and optimising power and energy systems.,https://github.com/PyPSA/PyPSA,2016-01-11 09:04:18,2023-09-28 16:01:46,2023-09-28 16:01:46,2243,224.0,371.0,62.0,446.0,213.0,931,65.0,30,True,66.0,pypsa,pypsa,https://pypsa.readthedocs.io/en/latest/,2023-07-27 07:51:53,0.25.1,,2298.0,46.0,126.0,126.0,https://pypi.org/project/pypsa,2298.0,https://anaconda.org/anaconda/pypsa,1.0,,,,,,,,,,
5,HiGHS,ops,['python'],,ERGO-Code/HiGHS,https://highs.dev/,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,2018-03-27 13:57:58,2023-09-28 16:53:15,2023-09-28 14:59:04,8587,228.0,129.0,28.0,870.0,432.0,631,58.0,30,True,63.0,highspy,,https://ergo-code.github.io/HiGHS/,2023-05-27 13:20:08,1.5.3,,21968.0,10.0,30.0,30.0,https://pypi.org/project/highspy,21968.0,,1.0,,,,,4.0,,,,,
6,PySCIPOpt,ops,['python'],,scipopt/PySCIPOpt,https://www.scipopt.org/,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,2016-05-19 14:29:21,2023-09-26 09:28:15,2023-07-03 08:33:49,1601,2.0,208.0,25.0,281.0,419.0,674,64.0,27,True,23.0,PySCIPOpt,pyscipopt,https://scipopt.github.io/PySCIPOpt/docs/html/,2023-03-17 19:43:22,4.3.0,,79889.0,17.0,126.0,126.0,https://pypi.org/project/PySCIPOpt,79889.0,https://anaconda.org/anaconda/pyscipopt,2.0,,,,,,True,,,,
7,OpenModelica,cosime,,,OpenModelica/OpenModelica,https://openmodelica.org,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,2015-05-03 16:59:29,2023-09-28 14:38:45,2023-09-28 14:38:44,36231,151.0,265.0,53.0,3896.0,5492.0,649,183.0,27,True,1703.0,,,https://openmodelica.org/useresresources/userdocumentation,2023-04-18 09:52:03,1.21.0,355.0,264.0,16.0,,,,,,1.0,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2023-05-05 12:42:00.027415,26179.0,,,5.0,,,
8,CVXOPT,opl,['python'],,cvxopt/cvxopt,https://cvxopt.org/,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,2013-02-22 22:14:31,2023-08-23 15:47:57,2023-08-09 09:16:40,55,1.0,192.0,39.0,64.0,145.0,920,8.0,26,True,35.0,cvxopt,cvxopt,http://cvxopt.org/userguide/,2023-08-09 14:30:02,1.3.2,,269146.0,12.0,8057.0,8057.0,https://pypi.org/project/cvxopt,269043.0,https://anaconda.org/anaconda/cvxopt,3.0,,,,,,True,,2023-06-16 13:05:55.431,9759.0,
9,JuMP,opl,"['julia', 'jupyter']",,jump-dev/JuMP.jl,https://jump.dev,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,2012-10-10 00:34:45,2023-09-25 23:08:34,2023-09-25 22:22:32,4746,68.0,378.0,84.0,2097.0,1375.0,2026,146.0,25,True,8.0,,,https://jump.dev/JuMP.jl/stable/,2023-09-25 19:17:24,1.15.1,,,62.0,,,,,,3.0,,,,,,,,,,
