,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,docs_url,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,new_addition,trending,conda_latest_release_published_at,conda_total_downloads,dockerhub_stars,updated_github_id
0,Data on Energy,data,['python'],True,owid/energy-data,https://ourworldindata.org/energy,CC-BY,Data on energy by Our World in Data.,https://github.com/owid/energy-data,2020-09-08 15:21:25,2023-07-18 13:22:02.000000,2023-07-18 13:21:58,234,3.0,83.0,12.0,25.0,10.0,212,7.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
1,COVID-EMDA,data,['python'],True,tamu-engineering-research/COVID-EMDA,https://github.com/tamu-engineering-research/COVID-EMDA,MIT,Cross-Domain Data Hub with Data in USA.,https://github.com/tamu-engineering-research/COVID-EMDA,2020-05-05 18:59:53,2022-05-16 00:06:28.000000,2022-05-16 00:06:28,979,,18.0,6.0,,,57,5.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2,Pyomo,opl,"['python', 'jupyter']",,Pyomo/pyomo,https://www.pyomo.org,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,2016-05-27 19:33:45,2023-10-12 18:09:49.000000,2023-10-10 19:17:12,21717,420.0,441.0,60.0,1767.0,937.0,1657,131.0,36,True,307.0,Pyomo,pyomo,https://pyomo.readthedocs.io/en/stable/,2023-08-23 22:42:54,6.6.2,1812.0,314557.0,10.0,1523.0,1523.0,https://pypi.org/project/Pyomo,314467.0,https://anaconda.org/anaconda/pyomo,1.0,,,,,,,,,,
3,pandapower,steady-state,['python'],,e2nIEE/pandapower,https://www.pandapower.org/,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,2017-01-12 13:27:53,2023-10-12 09:28:02.000000,2023-10-11 11:37:01,8082,116.0,418.0,46.0,1153.0,715.0,669,116.0,31,True,161.0,pandapower,pandapower,https://pandapower.readthedocs.io/en/latest/,2023-05-12 15:47:47,2.13.1,,19645.0,35.0,284.0,284.0,https://pypi.org/project/pandapower,19644.0,https://anaconda.org/anaconda/pandapower,1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,88.0,,,,,,
4,PyPSA,steady-state,['python'],,PyPSA/PyPSA,https://pypsa.org,MIT,Simulating and optimising power and energy systems.,https://github.com/PyPSA/PyPSA,2016-01-11 09:04:18,2023-10-12 14:38:06.000000,2023-10-10 07:16:06,2273,183.0,372.0,61.0,457.0,215.0,936,65.0,29,True,65.0,pypsa,pypsa,https://pypsa.readthedocs.io/en/latest/,2023-09-30 06:48:17,0.25.2,,2968.0,47.0,131.0,131.0,https://pypi.org/project/pypsa,2968.0,https://anaconda.org/anaconda/pypsa,1.0,,,,,,,,,,
5,PySCIPOpt,ops,['python'],,scipopt/PySCIPOpt,https://www.scipopt.org/,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,2016-05-19 14:29:21,2023-10-06 16:04:56.000000,2023-10-06 16:04:56,1612,11.0,208.0,25.0,284.0,428.0,681,66.0,29,True,18.0,PySCIPOpt,pyscipopt,https://scipopt.github.io/PySCIPOpt/docs/html/,2023-03-17 19:43:22,4.3.0,,77881.0,17.0,126.0,126.0,https://pypi.org/project/PySCIPOpt,77881.0,https://anaconda.org/anaconda/pyscipopt,1.0,,,,,True,,,,,
6,HiGHS,ops,['python'],,ERGO-Code/HiGHS,https://highs.dev/,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,2018-03-27 13:57:58,2023-10-11 20:34:08.000000,2023-10-04 08:33:06,8589,174.0,129.0,29.0,881.0,439.0,643,58.0,29,True,64.0,highspy,,https://ergo-code.github.io/HiGHS/,2023-09-29 05:31:06,1.6.0,,23651.0,11.0,36.0,36.0,https://pypi.org/project/highspy,23651.0,,1.0,,,,,,3.0,,,,
7,CVXOPT,opl,['python'],,cvxopt/cvxopt,https://cvxopt.org/,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,2013-02-22 22:14:31,2023-08-23 15:47:57.000000,2023-08-09 09:16:40,55,1.0,192.0,39.0,64.0,145.0,921,8.0,26,True,36.0,cvxopt,cvxopt,http://cvxopt.org/userguide/,2023-08-09 14:30:02,1.3.2,,261679.0,12.0,8156.0,8156.0,https://pypi.org/project/cvxopt,261574.0,https://anaconda.org/anaconda/cvxopt,3.0,,,,,True,,2023-06-16 13:05:55.431,10041.0,,
8,OpenModelica,cosime,,,OpenModelica/OpenModelica,https://openmodelica.org,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,2015-05-03 16:59:29,2023-10-12 13:11:54.000000,2023-10-12 12:36:37,36272,166.0,266.0,53.0,3945.0,5518.0,654,186.0,26,True,1711.0,,,https://openmodelica.org/useresresources/userdocumentation,2023-04-18 09:52:03,1.21.0,355.0,277.0,16.0,,,,,,1.0,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2023-05-05 12:42:00.027415,27728.0,,,,,5.0,
9,JuMP,opl,"['julia', 'jupyter']",,jump-dev/JuMP.jl,https://jump.dev,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,2012-10-10 00:34:45,2023-10-12 15:52:25.000000,2023-10-12 12:46:15,4754,73.0,379.0,85.0,2107.0,1380.0,2036,146.0,25,True,8.0,,,https://jump.dev/JuMP.jl/stable/,2023-09-25 19:17:24,1.15.1,,,62.0,,,,,,3.0,,,,,,,,,,
10,Grid2Op,mrl,"['python', 'jupyter']",,rte-france/Grid2Op,https://l2rpn.chalearn.org/,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/rte-france/Grid2Op,2019-10-10 17:04:46,2023-09-28 14:35:41.000000,2023-09-18 13:57:18,2759,148.0,99.0,19.0,221.0,264.0,239,30.0,24,True,39.0,Grid2Op,,https://grid2op.readthedocs.io/en/latest/,2023-09-18 13:59:06,1.9.5,,1980.0,24.0,,,https://pypi.org/project/Grid2Op,1780.0,,1.0,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,9626.0,,,,,1.0,
11,Power Grid Model,steady-state,['python'],,alliander-opensource/power-grid-model,https://github.com/PowerGridModel/power-grid-model,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/PowerGridModel/power-grid-model,2022-01-20 12:31:31,2023-10-12 17:03:01.000000,2023-10-12 15:33:36,3472,1075.0,17.0,5.0,309.0,57.0,88,16.0,24,True,31.0,power-grid-model,,https://power-grid-model.readthedocs.io/en/stable/,2023-10-12 17:03:01,1.6.10,574.0,19505.0,100.0,4.0,4.0,https://pypi.org/project/power-grid-model,19362.0,,2.0,,,,,,2.0,,,,PowerGridModel/power-grid-model
12,Ipopt,ops,['python'],,coin-or/Ipopt,https://github.com/coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,2019-01-28 12:24:22,2023-10-05 12:52:21.000000,2023-09-16 13:12:47,2332,5.0,243.0,42.0,24.0,541.0,1135,28.0,23,True,13.0,ipopt,ipopt,https://coin-or.github.io/Ipopt/,2023-04-05 09:21:32,releases/3.14.12,9084.0,1892.0,18.0,,,https://pypi.org/project/ipopt,1676.0,https://anaconda.org/anaconda/ipopt,3.0,,,,,,,,,,
13,precice,cosime,,,precice/precice,https://precice.org/,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,2015-05-22 14:05:22,2023-10-12 03:15:56.191587,2023-10-11 08:47:35,4846,90.0,159.0,37.0,1067.0,574.0,599,54.0,23,True,182.0,pyprecice,pyprecice,https://precice.org/docs.html,2022-08-10 12:48:38,2.5.0,20083.0,675.0,25.0,,,https://pypi.org/project/pyprecice,262.0,https://anaconda.org/anaconda/pyprecice,3.0,precice/precice,https://hub.docker.com/r/precice/precice,2023-10-12 03:15:56.191587,13320.0,,,,,,
14,PowerSimulations.jl,steady-state,['julia'],,nrel-siip/powersimulations.jl,https://www.nrel.gov/analysis/siip.html,BSD-3,Optimization of Power Systems; Part of the SIIP at NREL.,https://github.com/NREL-Sienna/PowerSimulations.jl,2017-11-03 21:11:22,2023-10-10 18:16:16.000000,2023-09-22 23:51:48,8154,211.0,48.0,18.0,731.0,251.0,235,32.0,23,True,21.0,,,https://nrel-siip.github.io/PowerSimulations.jl/latest/,2023-09-23 00:12:42,0.23.3,,,98.0,,,,,,2.0,,,,,,,,,,NREL-Sienna/PowerSimulations.jl
15,PyPSA-Eur,steady-state,['python'],,PyPSA/pypsa-eur,https://pypsa.org,MIT,Optimisation Model of the European Transmission System.,https://github.com/PyPSA/pypsa-eur,2017-10-11 23:54:41,2023-10-12 15:43:23.000000,2023-10-12 15:43:22,3181,257.0,155.0,15.0,422.0,218.0,234,55.0,22,True,118.0,,,https://pypsa-eur.readthedocs.io/en/latest/?badge=latest,2023-07-27 09:57:00,0.8.1,,0.0,12.0,,,,,,2.0,nimfetrisa/pypsa-eur,https://hub.docker.com/r/nimfetrisa/pypsa-eur,2022-04-11 21:54:31.539284,36.0,,,,,,
16,Atlite,data,['python'],,PyPSA/atlite,https://pypsa.org,BSD-2,Calculating Renewable Power Potentials.,https://github.com/PyPSA/atlite,2016-11-03 23:59:25,2023-10-09 18:56:48.000000,2023-10-09 18:56:48,665,12.0,67.0,13.0,216.0,83.0,208,28.0,22,True,23.0,atlite,atlite,https://atlite.readthedocs.io/en/master/?badge=master,2023-05-23 08:29:16,0.2.11,,564.0,10.0,36.0,36.0,https://pypi.org/project/atlite,564.0,https://anaconda.org/anaconda/atlite,1.0,,,,,,,,,,
17,AMPLPY,ops,['python'],,ampl/amplpy,https://ampl.com/,BSD-3,Python API for AMPL.,https://github.com/ampl/amplpy,2017-06-27 00:22:07,2023-10-03 19:50:12.000000,2023-10-03 19:50:08,611,41.0,17.0,13.0,6.0,43.0,57,8.0,22,True,,amplpy,amplpy,https://amplpy.readthedocs.io/en/latest/,2023-09-04 11:30:29,0.12.0,,15479.0,12.0,49.0,49.0,https://pypi.org/project/amplpy,15479.0,https://anaconda.org/anaconda/amplpy,3.0,,,,,True,,,,,
