,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,docs_url,recent_commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,new_addition,trending,dockerhub_stars,conda_latest_release_published_at,conda_total_downloads,updated_github_id
0,Data on Energy,data,['python'],True,owid/energy-data,https://ourworldindata.org/energy,CC-BY,Data on energy by Our World in Data.,https://github.com/owid/energy-data,2020-09-08 15:21:25,2023-07-18 13:22:02,2023-07-18 13:21:58,234,84.0,12.0,25.0,10.0,216,7.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1,COVID-EMDA,data,['python'],True,tamu-engineering-research/COVID-EMDA,https://github.com/tamu-engineering-research/COVID-EMDA,MIT,Cross-Domain Data Hub with Data in USA.,https://github.com/tamu-engineering-research/COVID-EMDA,2020-05-05 18:59:53,2022-05-16 00:06:28,2022-05-16 00:06:28,979,18.0,6.0,,,57,5.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,Pyomo,opl,"['python', 'jupyter']",,Pyomo/pyomo,https://www.pyomo.org,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,2016-05-27 19:33:45,2023-10-26 00:26:48,2023-10-24 17:27:27,21767,442.0,59.0,1772.0,939.0,1665,131.0,36,True,308.0,Pyomo,pyomo,https://pyomo.readthedocs.io/en/stable/,388.0,2023-08-23 22:42:54,6.6.2,1851.0,325176.0,10.0,1542.0,1542.0,https://pypi.org/project/Pyomo,325084.0,https://anaconda.org/anaconda/pyomo,1.0,,,,,,,,,,
3,pandapower,steady-state,['python'],,e2nIEE/pandapower,https://www.pandapower.org/,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,2017-01-12 13:27:53,2023-10-26 13:07:25,2023-10-24 08:03:29,8105,420.0,47.0,1160.0,715.0,676,116.0,32,True,165.0,pandapower,pandapower,https://pandapower.readthedocs.io/en/latest/,108.0,2023-05-12 15:47:47,2.13.1,,21032.0,35.0,285.0,285.0,https://pypi.org/project/pandapower,21031.0,https://anaconda.org/anaconda/pandapower,1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,88.0,,,,,,
4,PyPSA,steady-state,['python'],,PyPSA/PyPSA,https://pypsa.org,MIT,Simulating and optimising power and energy systems.,https://github.com/PyPSA/PyPSA,2016-01-11 09:04:18,2023-10-26 16:33:44,2023-10-26 12:30:43,2317,377.0,62.0,469.0,216.0,947,65.0,29,True,68.0,pypsa,pypsa,https://pypsa.readthedocs.io/en/latest/,165.0,2023-09-30 06:48:17,0.25.2,,3391.0,47.0,133.0,133.0,https://pypi.org/project/pypsa,3391.0,https://anaconda.org/anaconda/pypsa,1.0,,,,,,,,,,
5,PySCIPOpt,ops,['python'],,scipopt/PySCIPOpt,https://www.scipopt.org/,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,2016-05-19 14:29:21,2023-10-24 14:43:16,2023-10-23 09:38:14,1627,208.0,26.0,287.0,429.0,688,67.0,29,True,23.0,PySCIPOpt,pyscipopt,https://scipopt.github.io/PySCIPOpt/docs/html/,22.0,2023-03-17 19:43:22,4.3.0,,74403.0,17.0,128.0,128.0,https://pypi.org/project/PySCIPOpt,74403.0,https://anaconda.org/anaconda/pyscipopt,1.0,,,,,True,,,,,
6,HiGHS,ops,['python'],,ERGO-Code/HiGHS,https://highs.dev/,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,2018-03-27 13:57:58,2023-10-26 09:32:34,2023-10-04 08:33:06,8589,130.0,30.0,888.0,443.0,657,58.0,29,True,64.0,highspy,,https://ergo-code.github.io/HiGHS/,154.0,2023-09-29 05:31:06,1.6.0,,22906.0,11.0,38.0,38.0,https://pypi.org/project/highspy,22906.0,,1.0,,,,,,3.0,,,,
7,OpenModelica,cosime,,,OpenModelica/OpenModelica,https://openmodelica.org,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,2015-05-03 16:59:29,2023-10-26 18:02:53,2023-10-26 17:47:27,36309,267.0,53.0,3994.0,5539.0,660,186.0,27,True,1725.0,,,https://openmodelica.org/useresresources/userdocumentation,198.0,2023-04-18 09:52:03,1.21.0,357.0,291.0,17.0,,,,,,1.0,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2023-05-05 12:42:00.027415,29098.0,,,5.0,,,
8,CVXOPT,opl,['python'],,cvxopt/cvxopt,https://cvxopt.org/,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,2013-02-22 22:14:31,2023-10-25 15:45:10,2023-08-09 09:16:40,55,193.0,39.0,65.0,145.0,921,8.0,26,True,37.0,cvxopt,cvxopt,http://cvxopt.org/userguide/,1.0,2023-08-09 14:30:02,1.3.2,,282700.0,12.0,8258.0,8258.0,https://pypi.org/project/cvxopt,282593.0,https://anaconda.org/anaconda/cvxopt,3.0,,,,,True,,,2023-06-16 13:05:55.431,10197.0,
9,JuMP,opl,"['julia', 'jupyter']",,jump-dev/JuMP.jl,https://jump.dev,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,2012-10-10 00:34:45,2023-10-24 19:56:05,2023-10-24 07:26:11,4759,379.0,85.0,2111.0,1381.0,2039,146.0,25,True,9.0,,,https://jump.dev/JuMP.jl/stable/,74.0,2023-10-24 19:07:26,1.16.0,,,63.0,,,,,,3.0,,,,,,,,,,
