,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,docs_url,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,new_addition,conda_latest_release_published_at,conda_total_downloads,dockerhub_stars,updated_github_id
0,Data on Energy,data,['python'],True,owid/energy-data,https://ourworldindata.org/energy,CC-BY,Data on energy by Our World in Data.,https://github.com/owid/energy-data,2020-09-08 15:21:25,2023-12-27 14:14:33.000,2023-12-27 14:14:29,240,6.0,86.0,14.0,26.0,10.0,231,7.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,
1,COVID-EMDA,data,['python'],True,tamu-engineering-research/COVID-EMDA,https://github.com/tamu-engineering-research/COVID-EMDA,MIT,Cross-Domain Data Hub with Data in USA.,https://github.com/tamu-engineering-research/COVID-EMDA,2020-05-05 18:59:53,2023-11-11 19:19:54.000,2023-11-11 19:19:54,981,2.0,18.0,6.0,,,57,5.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2,Pyomo,opl,"['python', 'jupyter']",,Pyomo/pyomo,https://www.pyomo.org,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,2016-05-27 19:33:45,2024-01-18 17:33:59.000,2024-01-18 15:19:01,22374,377.0,457.0,61.0,1824.0,1006.0,1756,137.0,36,True,265.0,Pyomo,pyomo,https://pyomo.readthedocs.io/en/stable/,2023-11-30 03:01:19,6.7.0,2000.0,286043.0,11.0,1668.0,1668.0,https://pypi.org/project/Pyomo,285957.0,https://anaconda.org/anaconda/pyomo,1.0,,,,,,,,,,
3,pandapower,steady-state,['python'],,e2nIEE/pandapower,https://www.pandapower.org/,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,2017-01-12 13:27:53,2024-01-18 17:49:18.000,2024-01-18 16:16:53,8192,83.0,430.0,46.0,1189.0,726.0,713,126.0,31,True,172.0,pandapower,pandapower,https://pandapower.readthedocs.io/en/latest/,2023-05-12 15:47:47,2.13.1,,9380.0,35.0,306.0,306.0,https://pypi.org/project/pandapower,9379.0,https://anaconda.org/anaconda/pandapower,1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,89.0,,,,,,
4,HiGHS,ops,['python'],,ERGO-Code/HiGHS,https://highs.dev/,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,2018-03-27 13:57:58,2024-01-18 17:49:26.000,2024-01-12 09:52:04,8800,99.0,141.0,33.0,946.0,484.0,728,60.0,30,True,74.0,highspy,,https://ergo-code.github.io/HiGHS/,2023-09-29 05:31:06,1.6.0,,24765.0,11.0,56.0,56.0,https://pypi.org/project/highspy,24765.0,,1.0,,,,,4.0,,,,,
5,PySCIPOpt,ops,['python'],,scipopt/PySCIPOpt,https://www.scipopt.org/,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,2016-05-19 14:29:21,2024-01-15 11:50:13.000,2024-01-11 11:28:33,1735,108.0,214.0,26.0,307.0,451.0,714,67.0,30,True,20.0,PySCIPOpt,pyscipopt,https://scipopt.github.io/PySCIPOpt/docs/html/,2023-12-06 08:07:15,4.4.0,,13181.0,18.0,141.0,141.0,https://pypi.org/project/PySCIPOpt,13181.0,https://anaconda.org/anaconda/pyscipopt,1.0,,,,,,True,,,,
6,PyPSA,steady-state,['python'],,PyPSA/PyPSA,https://pypsa.org,MIT,Simulating and optimising power and energy systems.,https://github.com/PyPSA/PyPSA,2016-01-11 09:04:18,2024-01-12 10:25:50.000,2024-01-12 10:25:50,2439,122.0,393.0,66.0,498.0,226.0,992,69.0,29,True,72.0,pypsa,pypsa,https://pypsa.readthedocs.io/en/latest/,2023-12-31 15:30:27,0.26.2,,4125.0,50.0,152.0,152.0,https://pypi.org/project/pypsa,4125.0,https://anaconda.org/anaconda/pypsa,1.0,,,,,,,,,,
7,CVXOPT,opl,['python'],,cvxopt/cvxopt,https://cvxopt.org/,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,2013-02-22 22:14:31,2023-11-07 22:51:27.608,2023-08-09 09:16:40,55,,197.0,38.0,65.0,147.0,934,8.0,27,True,36.0,cvxopt,cvxopt,http://cvxopt.org/userguide/,2023-08-09 14:30:02,1.3.2,,282350.0,12.0,8892.0,8892.0,https://pypi.org/project/cvxopt,282243.0,https://anaconda.org/anaconda/cvxopt,3.0,,,,,,True,2023-11-07 22:51:27.608,10497.0,,
8,OpenModelica,cosime,,,OpenModelica/OpenModelica,https://openmodelica.org,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,2015-05-03 16:59:29,2024-01-18 15:54:01.000,2024-01-18 15:02:01,36442,153.0,274.0,52.0,4162.0,5633.0,692,187.0,27,True,1799.0,,,https://openmodelica.org/useresresources/userdocumentation,2023-12-13 10:48:55,1.22.1,358.0,325.0,18.0,,,,,,1.0,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2023-12-15 14:05:19.336681,33548.0,,,,,5.0,
9,JuMP,opl,"['julia', 'jupyter']",,jump-dev/JuMP.jl,https://jump.dev,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,2012-10-10 00:34:45,2024-01-17 00:30:23.000,2024-01-16 23:52:26,4835,77.0,381.0,84.0,2192.0,1407.0,2091,149.0,26,True,7.0,,,https://jump.dev/JuMP.jl/stable/,2024-01-06 21:07:13,1.18.1,,,66.0,,,,,,3.0,,,,,,,,,,
