,name,category,labels,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,updated_github_id,new_addition
0,Australian MV-LV Networks,data,"['jupyter', 'python', 'university']",True,Team-Nando/MV-LV-Networks,BSD-3,Large-scale three-phase Australian MV distribution networks with pseudo LV networks.,https://github.com/Team-Nando/MV-LV-Networks,https://github.com/Team-Nando/MV-LV-Networks,2024-03-26 03:29:17,2024-03-27 00:24:02.000000,2024-03-27 00:23:23,9.0,11.0,1.0,29.0,2.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Power Grid Lib - Optimal Power Flow,data,['non-profit'],True,power-grid-lib/pglib-opf,CC-BY-4.0,Benchmarks for OPF.,https://github.com/power-grid-lib/pglib-opf,https://power-grid-lib.github.io,2017-06-27 19:02:06,2023-07-24 16:17:02.000000,2023-07-24 16:12:04,15.0,94.0,15.0,389.0,1.0,0,True,https://arxiv.org/abs/1908.02788,24.0,11.0,23.0,2023-07-24 16:17:02.000,23.07,8.0,,,,,,,,,,,,,,,,,,,,,,,
2,Power Grid Lib - Unit Commitment,data,['non-profit'],True,power-grid-lib/pglib-uc,CC-BY-4.0,Benchmarks for UC.,https://github.com/power-grid-lib/pglib-uc,https://power-grid-lib.github.io,2019-08-02 23:31:34,2024-06-11 11:36:48.000000,2021-09-28 14:57:15,15.0,35.0,4.0,116.0,3.0,0,True,,4.0,2.0,1.0,2019-08-07 20:35:09.000,19.08,1.0,,,,,,,,,,,,,,,,,,,,,,,
3,Power Grid Lib - Optimal Power Flow with HVDC Lines,data,['non-profit'],True,power-grid-lib/pglib-opf-hvdc,CC-BY-4.0,Benchmarks for OPF with HVDC.,https://github.com/power-grid-lib/pglib-opf-hvdc,https://power-grid-lib.github.io,2019-08-05 18:59:16,2023-10-06 14:38:09.000000,2023-10-06 14:35:21,15.0,7.0,,24.0,2.0,0,True,https://ieeexplore.ieee.org/document/8636236,1.0,1.0,,2023-10-06 14:38:45.000,23.09,2.0,,,,,,,,,,,,,,,,,,,,,,,
4,WECC-and-NPCC-Electricity-Economic-Data,data,['university'],True,enliten/ENLITEN-Grid-Econ-Data,GPL-3,Economic data on WECC and NPCC.,https://github.com/enliten/ENLITEN-Grid-Econ-Data,https://github.com/enliten/ENLITEN-Grid-Econ-Data,2022-12-05 19:17:45,2024-06-04 17:21:48.000000,2024-06-04 17:21:47,42.0,2.0,,14.0,4.0,0,True,,2.0,,,2022-12-06 05:06:06.000,WECC-and-NPCC,1.0,,,,,,,,,,,,,,,,,,,,,,,
5,OpenDataElia,data,['non-profit'],True,,CC-BY-4.0,Data by opendatasoft.,,https://opendata.elia.be/pages/home/,,,,,,,,,0,True,https://help.opendatasoft.com/en/home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Data on Energy,data,['non-profit'],True,owid/energy-data,CC-BY,Data on energy by Our World in Data.,https://github.com/owid/energy-data,https://github.com/owid/energy-data,2020-09-08 15:21:25,2026-01-28 11:01:52.000000,2026-01-28 11:01:47,296.0,107.0,1.0,386.0,7.0,0,True,,13.0,42.0,10.0,,,,13.0,,,,,,,,,,,,,,,,,,,,,,
7,COVID-EMDA,data,"['python', 'university']",True,tamu-engineering-research/COVID-EMDA,MIT,Cross-Domain Data Hub with Data in USA.,https://github.com/tamu-engineering-research/COVID-EMDA,https://github.com/tamu-engineering-research/COVID-EMDA,2020-05-05 18:59:53,2024-04-23 16:12:16.000000,2024-04-23 16:11:59,986.0,22.0,1.0,60.0,5.0,0,True,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Electrical Signals Databases,data,['for-profit'],True,rte-france/digital-fault-recording-database,ODbL-1.0,Voltage and current samples from Digital Fault Recorder.,https://github.com/rte-france/digital-fault-recording-database,https://github.com/rte-france/digital-fault-recording-database,2024-05-27 07:22:44,2025-02-10 12:00:46.000000,2025-02-10 12:00:45,18.0,10.0,2.0,32.0,2.0,0,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A new power system benchmark,data,['lab'],True,lbl-hub/CSEE-Benchmark,,A new type of power system calculation example by the China EPRI.,https://github.com/lbl-hub/CSEE-Benchmark,https://github.com/lbl-hub/CSEE-Benchmark,2023-12-18 09:09:08,2025-06-21 05:29:58.000000,2025-06-21 05:29:47,176.0,9.0,,39.0,,0,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,pmuBAGE,data,['university'],True,NanpengYu/pmuBAGE,,Synthetic phasor measurement unit dataset.,https://github.com/NanpengYu/pmuBAGE,https://github.com/NanpengYu/pmuBAGE,2022-03-18 05:10:00,2022-04-07 00:15:41.000000,2022-04-07 00:15:41,18.0,2.0,1.0,9.0,2.0,0,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PowerCyber Training,book,"['jupyter', 'gha', 'python', 'university']",True,PowerCyberTraining/powercybertraining.github.io,CC BY-NC-ND 4.0,PowerCyber Training modules source.,https://github.com/PowerCyberTraining/powercybertraining.github.io,https://powercybertraining.github.io,2024-02-16 22:06:15,2025-09-20 01:55:53.000000,2025-09-20 01:55:43,287.0,5.0,,11.0,8.0,0,True,,1.0,23.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TextbookSimulations,book,"['julia', 'jupyter', 'university']",True,Power-Systems-Textbook/TextbookSimulations,CC0-1.0,Examples and problems accompanying Daniel Kirschens Power Systems Textbook.,https://github.com/Power-Systems-Textbook/TextbookSimulations,https://github.com/Power-Systems-Textbook/TextbookSimulations,2022-10-12 19:10:15,2023-11-08 22:54:41.000000,2023-11-08 22:54:34,56.0,3.0,,12.0,2.0,0,True,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
